Season,Team,G,Age,W,L,PW,PL,Pace,FTr,3PAr,OFF_eFG%,DEF_eFG%,OFF_TOV%,DEF_TOV%,ORB%,DRB%,OFF_FT/FGA,DEF_FT/FGA,pyth_diff
2015,Denver Nuggets,82,26.4,30,52.0,31,51,96.1,0.278,0.284,0.479,0.504,12.7,13.0,26.6,74.7,0.204,0.239,-1
2015,Boston Celtics,82,25.0,40,42.0,41,41,95.8,0.233,0.28,0.489,0.494,12.5,13.7,24.7,75.0,0.176,0.208,-1
2015,Sacramento Kings,82,26.0,29,53.0,31,51,95.4,0.363,0.204,0.49,0.507,14.8,11.8,26.5,75.2,0.276,0.2,-2
2015,Chicago Bulls,82,28.8,50,32.0,50,32,92.8,0.304,0.269,0.489,0.473,12.9,11.3,27.0,74.4,0.238,0.182,0
2015,New Orleans Pelicans,82,25.3,45,37.0,43,39,91.4,0.263,0.233,0.501,0.496,12.5,11.7,27.1,75.1,0.198,0.195,2
2015,Washington Wizards,82,28.6,46,36.0,43,39,93.7,0.259,0.203,0.499,0.481,14.0,12.9,24.9,77.3,0.192,0.21,3
2015,Los Angeles Lakers,82,27.0,21,61.0,23,59,94.0,0.276,0.22,0.473,0.518,12.1,12.1,25.4,76.3,0.204,0.231,-2
2015,Detroit Pistons,82,25.9,32,50.0,38,44,92.8,0.261,0.29,0.482,0.502,12.3,13.2,27.7,75.0,0.184,0.192,-6
2015,Memphis Grizzlies,82,29.6,55,27.0,50,32,92.0,0.276,0.184,0.489,0.492,12.6,14.5,24.7,75.3,0.214,0.183,5
2015,Brooklyn Nets,82,28.6,38,44.0,33,49,92.7,0.267,0.24,0.491,0.506,13.0,12.9,23.9,73.7,0.2,0.185,5
2015,Minnesota Timberwolves,82,24.4,16,66.0,19,63,94.4,0.309,0.179,0.468,0.537,13.7,13.9,26.6,71.6,0.24,0.187,-3
2015,Milwaukee Bucks,82,24.6,41,41.0,42,40,94.1,0.258,0.223,0.499,0.487,15.5,15.9,25.4,73.3,0.195,0.221,-1
2015,Indiana Pacers,82,28.3,38,44.0,42,40,93.2,0.266,0.255,0.484,0.478,13.1,12.0,24.0,77.9,0.201,0.217,-4
2015,Orlando Magic,82,24.3,25,57.0,25,57,93.8,0.23,0.235,0.494,0.514,14.0,13.6,23.1,76.0,0.168,0.21,0
2015,Utah Jazz,82,23.4,38,44.0,42,40,90.4,0.297,0.274,0.494,0.491,14.6,12.8,29.1,76.3,0.214,0.199,-4
2015,Miami Heat,82,28.5,37,45.0,33,49,90.9,0.306,0.262,0.5,0.505,14.5,14.2,23.2,73.4,0.227,0.213,4
2015,Charlotte Hornets,82,26.0,33,49.0,32,50,93.0,0.269,0.226,0.456,0.487,11.2,12.0,22.1,79.3,0.202,0.188,1
2015,Philadelphia 76ers,82,23.2,18,64.0,18,64,95.7,0.288,0.319,0.459,0.497,16.0,15.2,25.5,73.0,0.195,0.225,0
2015,New York Knicks,82,26.9,17,65.0,17,65,91.2,0.234,0.24,0.47,0.512,14.0,13.3,24.5,73.1,0.18,0.234,0
2016,Golden State Warriors,82,27.4,73,9.0,65,17,99.3,0.25,0.362,0.563,0.479,13.5,12.6,23.5,76.0,0.191,0.208,8
2016,Oklahoma City Thunder,82,25.8,55,27.0,59,23,96.7,0.292,0.275,0.524,0.484,14.0,11.7,31.1,76.0,0.228,0.205,-4
2016,Sacramento Kings,82,26.6,33,49.0,34,48,100.0,0.295,0.26,0.51,0.521,14.2,14.0,23.9,74.9,0.214,0.202,-1
2016,Houston Rockets,82,27.8,41,41.0,42,40,97.6,0.352,0.37,0.516,0.516,14.2,14.8,25.7,72.8,0.244,0.219,-1
